Code,Name,Color,TextColor
AX,Audio,#CCE5FF,#004085
ELEC,Electrical,#FFADAD,#111827
LOAN,Loan,#F8D7DA,#721C24
LX,Lighting,#D4EDDA,#155724
MISC,Misc,#FFF3CD,#856404
STG,Staging,#E2E3E5,#111827
UN,Unknown,#E2E3E5,#383D41
VX,Video,#E2D9F3,#44297A
