AssetID,Brand,ModelNumber,SerialNumber,Description,IsMissing,IsOOC,MaintenanceLogs,DepartmentCode,DefaultLocation,CurrentLocation
4488#08,DPA,4488,M068376,"Directional Headset, beige",False,False,,AX,Store,Store
4488#09,DPA,4488,M070024,"Directional Headset, beige",False,False,,AX,Store,
4488#10,DPA,4488,M069545,"Directional Headset, beige",False,False,,AX,Store,
4488#11,DPA,4488,M069673,"Directional Headset, beige",False,False,,AX,Store,Store
4488#12,DPA,4488,M070071,"Directional Headset, beige",False,False,,AX,Store,Store
6061#01,DPA,6061,R311927,Omni Submini Lavalier Microphone (beige),False,False,,AX,Store,
6061#02,DPA,6061,R311977,Omni Submini Lavalier Microphone (beige),False,False,,AX,Store,
6061#03,DPA,6061,R311988,Omni Submini Lavalier Microphone (beige),False,False,,AX,Store,Store
6061#04,DPA,6061,R316442,Omni Submini Lavalier Microphone (beige),False,False,,AX,Store,Store
6061#05,DPA,6061,R316445,Omni Submini Lavalier Microphone (beige),False,False,,AX,Store,
6061#06,DPA,6061,R316447,Omni Submini Lavalier Microphone (beige),False,False,,AX,Store,
6061#07,DPA,6061,R317526,Omni Submini Lavalier Microphone (beige),False,False,,AX,Store,
6061#08,DPA,6061,R317528,Omni Submini Lavalier Microphone (beige),False,False,,AX,Store,
6061#09,DPA,6061,R317530,Omni Submini Lavalier Microphone (beige),False,False,,AX,Store,
6061#10,DPA,6061,R317531,Omni Submini Lavalier Microphone (beige),False,False,,AX,Store,
6061#11,DPA,6061,R317534,Omni Submini Lavalier Microphone (beige),False,False,,AX,Store,
6061#12,DPA,6061,R317535,Omni Submini Lavalier Microphone (beige),False,False,,AX,Store,
6061#13,DPA,6061,R283616,Omni Submini Lavalier Microphone (black),False,False,,AX,Store,Store
6061#14,DPA,6061,R283623,Omni Submini Lavalier Microphone (black),False,False,,AX,Store,Store
6061#15,DPA,6061,R283625,Omni Submini Lavalier Microphone (black),False,False,,AX,Store,Store
6061#16,DPA,6061,R283632,Omni Submini Lavalier Microphone (black),False,False,,AX,Store,Store
4061#01,DPA,4061,R238770,Omni Submini Lavalier Microphone,False,True,2024/11/19	bnjm2000	Sleeving disintegrated/tore after removing from instrument (SLMA @ Jia He Grand Restaurant) [Marked OOC],AX,Store,
4061#02,DPA,4061,R238785,Omni Submini Lavalier Microphone,False,True,2025/08/15	bnjm2000	Sleeving disintegrated/tore after removing from instrument (Tampest & Tranquility @ Blackbox) [Marked OOC],AX,Store,Store
DAD6001#01,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,False,False,,AX,Store,Store
DAD6001#02,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,False,False,,AX,Store,Store
DAD6001#03,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,False,False,,AX,Store,Store
DAD6001#04,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,False,False,,AX,Store,Store
DAD6001#05,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,False,False,,AX,Store,Store
DAD6001#06,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,False,False,,AX,Store,Store
DAD6001#07,DPA,DAD 6001,,Microdot to 3-Pin XLR Adapter,False,False,,AX,Store,Store
DAD4099#01,DPA,DAD 4099,,Microdot To XLR Adaptor With Low Cut,False,False,,AX,Store,
DAD4099#02,DPA,DAD 4099,,Microdot To XLR Adaptor With Low Cut,False,False,,AX,Store,
DAD4099#03,DPA,DAD 4099,,Microdot To XLR Adaptor With Low Cut,False,False,,AX,Store,
DAD4099#04,DPA,DAD 4099,,Microdot To XLR Adaptor With Low Cut,False,False,,AX,Store,
DAD4099#05,DPA,DAD 4099,,Microdot To XLR Adaptor With Low Cut,False,False,,AX,Store,
DAD4099#06,DPA,DAD 4099,,Microdot To XLR Adaptor With Low Cut,False,False,,AX,Store,
DAD6010#01,DPA,DAD 6010,,MicroDot to TA4F Adapter,False,False,,AX,Store,
DAD6010#02,DPA,DAD 6010,,MicroDot to TA4F Adapter,False,False,,AX,Store,Store
DAD6010#03,DPA,DAD 6010,,MicroDot to TA4F Adapter,False,False,,AX,Store,
DAD6010#04,DPA,DAD 6010,,MicroDot to TA4F Adapter,False,False,,AX,Store,
DAD6010#05,DPA,DAD 6010,,MicroDot to TA4F Adapter,False,False,,AX,Store,
