AssetID,Brand,ModelNumber,SerialNumber,Description,DateOfPurchase,DateAdded,DateModified,ChangeHistory,IsMissing,IsOOC,IsDegraded,IsDisposed,IsBulk,Quantity,MaintenanceLogs,DepartmentCode,DefaultLocation,CurrentLocation
C1500#01,APC,Smart UPS C1500,AS1834143849,1500VA Sinewave UPS Battery Backup,,2026-06-25T00:00:00,,,False,False,False,False,False,1,"[{""id"":""9c67eb8e60da54634d505c9f"",""date"":""2026/06/02"",""user"":""emily"",""description"":""Passed to Zubai"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
C1500#02,APC,Smart UPS C1500,AS1605331169,1500VA Sinewave UPS Battery Backup,,2026-06-25T00:00:00,,,False,False,False,False,False,1,"[{""id"":""c90ab5b8b89d5619cdd06651"",""date"":""2026/06/02"",""user"":""emily"",""description"":""Passed to Zubai"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
SC450RMI1U#01,APC,SC450RMI1U,5S1503T00813,450VA/280W line-interactive pure sine wave 1U rackmount UPS battery backup,,2026-06-25T00:00:00,,,False,False,False,False,False,1,"[{""id"":""2bf3bda3c8857090b2b77af3"",""date"":""2026/06/02"",""user"":""emily"",""description"":""Passed to Zubai"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
SC450RMI1U#02,APC,SC450RMI1U,5S1503T00824,450VA/280W line-interactive pure sine wave 1U rackmount UPS battery backup,,2026-06-25T00:00:00,,,False,False,False,False,False,1,"[{""id"":""45e101d09a2ad7e1581b5d42"",""date"":""2026/06/02"",""user"":""emily"",""description"":""Passed to Zubai"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
SC450RMI1U#03,APC,SC450RMI1U,5S1503T00817,450VA/280W line-interactive pure sine wave 1U rackmount UPS battery backup,,2026-06-25T00:00:00,,,False,False,False,False,False,1,"[{""id"":""e2abb88ca3caebdca476cd8a"",""date"":""2026/06/02"",""user"":""emily"",""description"":""Passed to Zubai"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
SC450RMI1U#04,APC,SC450RMI1U,5S1503T00818,450VA/280W line-interactive pure sine wave 1U rackmount UPS battery backup,,2026-06-25T00:00:00,,,False,False,False,False,False,1,"[{""id"":""37314e89eb8495f916a595fa"",""date"":""2026/06/02"",""user"":""emily"",""description"":""Passed to Zubai"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
SC450RMI1U#05,APC,SC450RMI1U,5S1503T00807,450VA/280W line-interactive pure sine wave 1U rackmount UPS battery backup,,2026-06-25T00:00:00,,,False,False,False,False,False,1,"[{""id"":""420be5c56f5ce375860e4497"",""date"":""2026/06/02"",""user"":""emily"",""description"":""Passed to Zubai"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
SC450RMI1U#06,APC,SC450RMI1U,5S1503T00816,450VA/280W line-interactive pure sine wave 1U rackmount UPS battery backup,,2026-06-25T00:00:00,,,False,False,False,False,False,1,"[{""id"":""7f7087e64283b4477a09531f"",""date"":""2026/06/02"",""user"":""emily"",""description"":""Passed to Zubai"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
SC450RMI1U#07,APC,SC450RMI1U,5S1503T00825,450VA/280W line-interactive pure sine wave 1U rackmount UPS battery backup,,2026-06-25T00:00:00,,,False,False,False,False,False,1,"[{""id"":""7488f7f9bd5d7d7af7f05341"",""date"":""2026/06/02"",""user"":""emily"",""description"":""Passed to Zubai"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
SC450RMI1U#08,APC,SC450RMI1U,5S1503T00828,450VA/280W line-interactive pure sine wave 1U rackmount UPS battery backup,,2026-06-25T00:00:00,,,False,False,False,False,False,1,"[{""id"":""8ac36b74c8576039d7203cd0"",""date"":""2026/06/02"",""user"":""emily"",""description"":""Passed to Zubai"",""type"":""Fault"",""cost"":"""",""changes"":[],""source"":{}}]",AX,Store,
SRT3000RMXLI#01,APC,SRT3000RMXLI,AS1903294178,3kVA/2.7kW double-conversion on-line pure sine wave 2U rackmount UPS,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
SRT3000RMXLI#02,APC,SRT3000RMXLI,7S1903L00280,3kVA/2.7kW double-conversion on-line pure sine wave 2U rackmount UPS,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#01,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#02,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#03,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#04,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#05,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
APEXDI#06,Apex,DUAL ACTIVE Dbd.i.,,active two channel direct inject box,,2026-06-25T00:00:00,,,False,False,False,False,False,1,,AX,Store,
